,STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method,latitude,longitude
61,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-02-01,08:45:00,4.3,4.3,ng/L,4,Y,17020048-02,537,33.85746227,-117.79209184
60,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-02-01,08:45:00,5.6,5.6,ng/L,4,Y,17020048-02,537,33.85746227,-117.79209184
63,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-02-01,08:45:00,0.4,ND,ng/L,4,N,17020048-02,537,33.85746227,-117.79209184
70,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-02-14,11:45:00,10.9,10.9,ng/L,4,Y,17020372-02,537,33.85746227,-117.79209184
66,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-02-14,11:45:00,5.5,5.5,ng/L,4,Y,17020372-02,537,33.85746227,-117.79209184
67,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-02-14,11:45:00,4.2,4.2,ng/L,4,Y,17020372-02,537,33.85746227,-117.79209184
68,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-02-14,11:45:00,4.5,4.5,ng/L,4,Y,17020372-02,537,33.85746227,-117.79209184
69,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-02-14,11:45:00,0.4,ND,ng/L,4,N,17020372-02,537,33.85746227,-117.79209184
71,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-02-14,11:45:00,12.3,12.3,ng/L,4,Y,17020372-02,537,33.85746227,-117.79209184
77,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-28,0.11,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-02-28,10:45:00,20.8,20.8,ng/L,4,Y,17020707-02,537,33.85746227,-117.79209184
75,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-28,0.11,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-02-28,10:45:00,0.4,ND,ng/L,4,N,17020707-02,537,33.85746227,-117.79209184
76,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-28,0.11,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-02-28,10:45:00,17.7,17.7,ng/L,4,Y,17020707-02,537,33.85746227,-117.79209184
73,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-28,0.11,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-02-28,10:45:00,6.7,6.7,ng/L,4,Y,17020707-02,537,33.85746227,-117.79209184
72,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-28,0.11,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-02-28,10:45:00,8.8,8.8,ng/L,4,Y,17020707-02,537,33.85746227,-117.79209184
74,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-28,0.11,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-02-28,10:45:00,7.6,7.6,ng/L,4,Y,17020707-02,537,33.85746227,-117.79209184
78,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-03-14,10:30:00,7.5,7.5,ng/L,4,Y,17030363-02,537,33.85746227,-117.79209184
79,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-03-14,10:30:00,5.0,5.0,ng/L,4,Y,17030363-02,537,33.85746227,-117.79209184
80,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-03-14,10:30:00,6.3,6.3,ng/L,4,Y,17030363-02,537,33.85746227,-117.79209184
81,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-03-14,10:30:00,0.4,ND,ng/L,4,N,17030363-02,537,33.85746227,-117.79209184
82,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-03-14,10:30:00,14.0,14.0,ng/L,4,Y,17030363-02,537,33.85746227,-117.79209184
83,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-03-14,10:30:00,15.0,15.0,ng/L,4,Y,17030363-02,537,33.85746227,-117.79209184
89,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-03-28,08:45:00,17.3,17.3,ng/L,4,Y,17030715-02,537,33.85746227,-117.79209184
87,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-03-28,08:45:00,0.4,ND,ng/L,4,N,17030715-02,537,33.85746227,-117.79209184
88,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-03-28,08:45:00,13.2,13.2,ng/L,4,Y,17030715-02,537,33.85746227,-117.79209184
85,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-03-28,08:45:00,5.8,5.8,ng/L,4,Y,17030715-02,537,33.85746227,-117.79209184
84,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-03-28,08:45:00,9.1,9.1,ng/L,4,Y,17030715-02,537,33.85746227,-117.79209184
86,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-03-28,08:45:00,8.0,8.0,ng/L,4,Y,17030715-02,537,33.85746227,-117.79209184
90,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-04-11,11:50:00,10.7,10.7,ng/L,4,Y,17040341-02,537,33.85746227,-117.79209184
91,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-04-11,11:50:00,6.6,6.6,ng/L,4,Y,17040341-02,537,33.85746227,-117.79209184
92,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-04-11,11:50:00,8.7,8.7,ng/L,4,Y,17040341-02,537,33.85746227,-117.79209184
93,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-04-11,11:50:00,0.4,ND,ng/L,4,N,17040341-02,537,33.85746227,-117.79209184
94,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-04-11,11:50:00,16.2,16.2,ng/L,4,Y,17040341-02,537,33.85746227,-117.79209184
95,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-04-11,11:50:00,20.6,20.6,ng/L,4,Y,17040341-02,537,33.85746227,-117.79209184
100,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-04-24,10:50:00,18.9,18.9,ng/L,4,Y,17040732-02,537,33.85746227,-117.79209184
96,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-04-24,10:50:00,12.6,12.6,ng/L,4,Y,17040732-02,537,33.85746227,-117.79209184
97,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-04-24,10:50:00,5.6,5.6,ng/L,4,Y,17040732-02,537,33.85746227,-117.79209184
98,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-04-24,10:50:00,11.2,11.2,ng/L,4,Y,17040732-02,537,33.85746227,-117.79209184
99,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-04-24,10:50:00,0.4,ND,ng/L,4,N,17040732-02,537,33.85746227,-117.79209184
101,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-04-24,10:50:00,22.2,22.2,ng/L,4,Y,17040732-02,537,33.85746227,-117.79209184
107,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-04-25,14:15:00,23.3,23.3,ng/L,4,Y,17040815-02,537,33.85746227,-117.79209184
106,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-04-25,14:15:00,21.0,21.0,ng/L,4,Y,17040815-02,537,33.85746227,-117.79209184
105,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-04-25,14:15:00,0.4,ND,ng/L,4,N,17040815-02,537,33.85746227,-117.79209184
104,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-04-25,14:15:00,10.6,10.6,ng/L,4,Y,17040815-02,537,33.85746227,-117.79209184
